"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus3857",0,0.0625,0,0,0.2857,0.125,0,0,0,0,0.0625,0,0.0625,0.0417,0,0,0,0,0,0,0,0,0.1818,0.3333
"locus3858",0,0.0625,0.1,0,0.2857,0.0833,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.0556,0,0.05,0.0455,0.0417
"locus3859",0,0.0625,0,0,0.1429,0.2083,0,0.0455,0,0.4,0,0.3889,0,0.125,0,0.1667,0.0625,0,0.0833,0,0,0.1,0.0909,0
"locus3860",0.125,0,0,0.2273,0,0,0,0,0,0.05,0,0,0,0,0,0,0.0625,0,0.0833,0,0.05,0,0,0
"locus3861",0.375,0.4375,0.35,0.4545,0.4286,0.2917,0.3889,0.4545,0,0.45,0.3125,0.3889,0.4375,0.4583,0.5,0.3333,0.5,0.4444,0.4167,0.1667,0.4,0.4,0.2273,0.3333
"locus3862",0.2083,0,0.1,0,0,0,0.1111,0.2727,0,0.05,0.0625,0,0.125,0.2917,0.2222,0,0.0625,0.4444,0.1667,0.1111,0,0.15,0.1364,0
"locus3863",0.4167,0,0,0.2727,0,0,0.0556,0.1364,0.0625,0.1,0.125,0,0.0625,0.125,0.3333,0,0.0625,0.1111,0,0.3889,0.25,0.05,0.1364,0.0417
"locus3864",0.125,0.1875,0,0.3636,0,0.375,0,0,0.125,0.1,0,0.1111,0.0625,0.0417,0,0.1667,0,0,0,0.0556,0.4,0.1,0.0455,0
"locus3865",0.125,0,0,0.1818,0,0.0833,0.1111,0,0,0.05,0,0,0,0.0417,0,0.1667,0,0,0,0,0.05,0,0,0.2083
"locus3866",0.2083,0,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0.1667,0,0.15,0.05,0,0
"locus3867",0.0417,0,0,0.2273,0,0.0417,0.1111,0,0,0.15,0,0.0556,0,0,0,0,0.0625,0,0,0.2778,0,0,0.0909,0
"locus3868",0,0.0625,0,0.0455,0.0714,0.125,0,0.0455,0,0.05,0,0.1111,0.1875,0,0,0.1667,0.0625,0,0,0,0.1,0.05,0,0.0833
"locus3869",0,0,0,0.0455,0,0,0.1111,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.2,0,0.0417
"locus3870",0.3333,0,0,0.4545,0,0,0,0,0,0,0.0625,0,0,0.125,0.3333,0.1667,0,0,0,0.2778,0.4,0,0,0
"locus3871",0.125,0.0625,0.15,0.0455,0,0.0417,0,0.0455,0,0,0.0625,0.0556,0.0625,0.0833,0,0,0.0625,0.1111,0,0,0,0.05,0.1364,0
"locus3872",0.125,0.375,0.5,0.2273,0,0.125,0.1111,0.4091,0,0.25,0.1875,0.1111,0.4375,0.3333,0.0556,0.1667,0.4375,0.3889,0.1667,0.1111,0,0.45,0.1818,0.4167
"locus3873",0,0,0,0.0455,0,0.0417,0.2778,0.0455,0,0,0,0,0,0.0833,0,0,0.1875,0.0556,0,0.2222,0,0.15,0.0455,0.3333
"locus3874",0.0417,0.25,0,0.0455,0,0.0417,0.2222,0.0909,0,0,0,0.0556,0.3125,0.125,0,0,0.125,0,0.1667,0,0,0.4,0,0.0833
"locus3875",0.2083,0,0,0.0455,0,0,0.1111,0,0,0,0.25,0.0556,0,0.125,0,0,0,0,0,0.4444,0.15,0,0.3182,0.4583
"locus3876",0.1667,0.1875,0.15,0,0,0,0.1111,0.1818,0,0.15,0,0,0.375,0.1667,0,0,0.3125,0.1111,0,0,0.05,0,0,0
"locus3877",0.4167,0.4375,0.35,0.0909,0.3571,0.4583,0.1667,0.2273,0.1875,0.4,0.0625,0.3889,0.3125,0.25,0.1111,0.1667,0.4375,0.2222,0.4167,0,0.05,0.15,0.3636,0.0833
"locus3878",0.0417,0.125,0.05,0,0,0,0,0.0909,0,0,0.0625,0,0.0625,0,0.1111,0,0,0,0,0.1667,0,0,0.0455,0
"locus3879",0.1667,0.4375,0.2,0.3182,0.2857,0.1667,0.5,0.3182,0.25,0.1,0.5,0.3889,0.125,0.2917,0.3333,0.1667,0.1875,0.1667,0.4167,0.1667,0.3,0.4,0.4091,0.2083
"locus3880",0.3333,0.375,0,0.4545,0.2857,0.4167,0.3333,0,0.375,0.45,0.25,0.3889,0.25,0,0.4444,0,0.1875,0.2778,0.4167,0.1111,0.35,0.1,0.4545,0.2917
"locus3881",0,0.125,0.1,0,0,0,0,0.0455,0,0,0,0,0.375,0.0417,0.0556,0.1667,0.0625,0,0.1667,0,0,0,0,0
"locus3882",0,0.125,0.1,0.0455,0,0.0417,0.2778,0,0,0.05,0.0625,0.0556,0.125,0.2083,0.0556,0.1667,0.125,0.1667,0.0833,0,0,0.05,0.0909,0.2917
"locus3883",0.375,0,0,0,0,0,0,0,0,0.05,0.125,0,0,0.0417,0,0.1667,0,0.0556,0,0.4444,0.25,0,0.0909,0
"locus3884",0.0417,0.0625,0,0.1364,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0,0.125,0.1111,0,0,0.05,0.1,0.0455,0
"locus3885",0.1667,0.3125,0,0.0455,0,0.0833,0.0556,0.0909,0.0625,0.35,0.0625,0.1111,0,0.0833,0,0,0.0625,0,0.0833,0.0556,0.1,0,0,0.0417
"locus3886",0.0417,0,0,0,0,0.0833,0.1111,0.0909,0,0.1,0,0.0556,0,0.0417,0.1667,0,0,0.0556,0,0.1111,0,0.05,0,0.125
"locus3887",0.0833,0,0,0.0455,0,0.0833,0,0.0455,0,0.1,0,0,0.1875,0,0,0,0.1875,0,0,0,0.05,0,0,0.0417
"locus3888",0.3333,0.1875,0.3,0.1818,0,0.25,0.4444,0.3182,0.25,0.3,0.375,0,0.375,0.4583,0.2778,0.1667,0.25,0.1667,0.4167,0.3889,0.2,0.25,0.4091,0.5
"locus3889",0.0417,0,0,0,0.0714,0,0,0,0.0625,0.15,0,0,0,0,0,0,0.0625,0,0,0,0.05,0,0.2273,0.0833
"locus3890",0.0417,0,0.05,0.0909,0,0,0,0.0455,0,0,0,0,0.0625,0,0,0,0,0.1111,0,0,0.1,0.15,0,0
"locus3891",0,0,0.2,0,0,0,0,0,0,0,0,0.1111,0,0.0417,0,0,0.0625,0,0,0.2222,0,0.05,0,0
"locus3892",0.375,0.125,0.4,0.4545,0,0,0.0556,0.5,0.375,0.15,0.5,0.3333,0.375,0.375,0.4444,0.1667,0.4375,0.2778,0.5,0,0.4,0.15,0.0909,0.2083
"locus3893",0.0833,0.125,0.2,0.0909,0.4286,0,0.2222,0.1364,0.25,0.1,0.3125,0.2222,0.25,0.25,0.1111,0.1667,0.25,0,0.3333,0.3333,0.15,0.15,0.3636,0.25
"locus3894",0.25,0,0.25,0.1364,0,0.0833,0.0556,0.2727,0.25,0.05,0.0625,0.0556,0.1875,0.1667,0.3333,0,0.1875,0.3333,0,0.2222,0.35,0.15,0.2727,0.0417
"locus3895",0.1667,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0417,0.5,0,0.0625,0.0556,0,0,0,0,0,0
"locus3896",0.3333,0.1875,0.4,0.0909,0.0714,0.1667,0,0.2727,0.0625,0.15,0.25,0,0.375,0.2917,0.3333,0.1667,0.25,0.2778,0.1667,0.3889,0.25,0.2,0.1364,0.0833
"locus3897",0.0417,0.4375,0.05,0.0455,0.2857,0.375,0.0556,0.1364,0,0.3,0,0.5,0.1875,0.125,0,0,0.0625,0.1111,0,0,0,0.05,0.0455,0.1667
"locus3898",0,0,0.1,0,0,0.4583,0,0.0909,0,0.25,0,0.4444,0,0,0,0,0,0,0,0,0.05,0,0.0455,0.0417
"locus3899",0,0.25,0,0,0.1429,0.0833,0.0556,0.0455,0.0625,0,0,0,0,0.0417,0.0556,0,0.0625,0.0556,0,0.1111,0,0.1,0.0455,0.0833
"locus3900",0.375,0.0625,0.05,0.1364,0.0714,0,0,0.1364,0.0625,0.05,0,0.1111,0,0,0,0.1667,0.0625,0.0556,0,0.5,0.05,0.05,0,0.0417
"locus3901",0,0.375,0,0.0909,0.3571,0.4583,0.2778,0,0,0.3,0,0.1111,0.125,0.1667,0,0.3333,0,0,0.5,0.5,0,0.05,0.1818,0.0833
"locus3902",0.0417,0.125,0.05,0.0455,0.1429,0.0833,0.1667,0.0455,0,0,0.0625,0,0,0,0,0,0,0,0.0833,0.0556,0,0.1,0.0455,0
"locus3903",0,0,0,0,0,0,0,0,0.0625,0.3,0.0625,0.1111,0,0,0,0,0,0,0,0,0,0.1,0,0
"locus3904",0.125,0.0625,0.1,0,0.0714,0.0833,0.0556,0.2727,0.125,0.15,0.125,0,0.0625,0.1667,0.0556,0,0.0625,0.1111,0.5,0,0.05,0.1,0.0455,0.2083
"locus3905",0.0833,0,0.15,0.0455,0,0,0,0.0455,0,0,0.0625,0,0.1875,0.25,0.0556,0.1667,0.0625,0,0.0833,0,0,0.1,0,0
"locus3906",0.0417,0,0.1,0.0455,0,0.125,0.0556,0.0455,0,0.1,0,0.0556,0.0625,0.3333,0,0,0.3125,0,0.0833,0.3333,0.05,0,0.0909,0.0417
"locus3907",0.4167,0.125,0.45,0.2727,0,0.0833,0.1111,0.2727,0.4375,0,0.0625,0,0.1875,0.2917,0.4444,0.1667,0.375,0.3889,0,0.3889,0.3,0.2,0.3182,0.2917
"locus3908",0,0,0.05,0,0,0,0.0556,0.0455,0,0,0,0,0,0.25,0,0,0,0,0.0833,0,0,0,0,0
"locus3909",0,0,0.05,0,0,0.2083,0,0,0,0.05,0.0625,0.0556,0,0.125,0,0,0,0,0,0,0,0.1,0,0
"locus3910",0,0,0,0,0,0,0,0.0455,0.1875,0,0,0,0,0,0.0556,0,0,0,0.0833,0.2778,0.05,0,0,0
"locus3911",0.0833,0.0625,0.05,0.2727,0,0.0417,0,0.0455,0,0.05,0,0,0.125,0.0833,0.0556,0.1667,0,0,0,0,0,0,0,0
"locus3912",0.3333,0.375,0.25,0.5,0,0.25,0.1667,0.2273,0.5,0.4,0.3125,0.2222,0.4375,0.4583,0.4444,0.1667,0.4375,0.3333,0.3333,0.1667,0.4,0.1,0.1818,0.0833
"locus3913",0.125,0.0625,0,0,0,0,0.0556,0,0,0.05,0.0625,0,0,0,0,0.3333,0.125,0,0,0.2222,0.05,0.15,0.0909,0.0833
"locus3914",0,0.0625,0.05,0.1818,0,0.0417,0,0.0909,0.3125,0,0,0,0.125,0.0833,0.1111,0.1667,0.1875,0.1111,0.0833,0,0.05,0.2,0.0909,0
"locus3915",0,0.0625,0.2,0,0,0,0.0556,0,0,0.05,0.0625,0,0,0.1667,0,0,0.25,0,0,0,0,0.05,0,0
"locus3916",0,0.125,0.1,0.0455,0.1429,0,0.3333,0,0,0.05,0.25,0.1111,0,0.0417,0.0556,0,0.0625,0.0556,0.5,0.0556,0,0.1,0.2273,0.2917
"locus3917",0,0,0,0,0.0714,0.0833,0.1111,0,0,0,0.0625,0,0,0,0,0,0,0,0.25,0.0556,0,0,0.0455,0.125
"locus3918",0.3333,0.1875,0.15,0.3636,0.0714,0.0833,0.1111,0.2273,0.375,0.2,0.25,0.2222,0.375,0.375,0.4444,0.1667,0.375,0.1111,0.1667,0.1111,0.5,0.3,0.1818,0.0417
"locus3919",0.0417,0.4375,0.35,0.3182,0.2857,0.1667,0.5,0.2273,0.4375,0.5,0.25,0.3333,0.3125,0.125,0,0.1667,0.25,0.1111,0.3333,0.0556,0.1,0.35,0.1818,0.3333
"locus3920",0.2917,0.125,0.1,0.0455,0,0,0.1111,0.0909,0.125,0,0.125,0,0,0.1667,0,0.3333,0.125,0.0556,0.0833,0.3889,0,0,0.0909,0
"locus3921",0.125,0.1875,0,0,0,0.2917,0.0556,0.0455,0.1875,0.1,0.1875,0.0556,0,0.0833,0.1111,0,0,0,0.0833,0,0.05,0.05,0.0455,0.1667
"locus3922",0.0417,0,0.15,0.0455,0,0.0417,0,0,0.0625,0,0,0.1667,0.0625,0,0,0,0.0625,0,0,0,0.05,0,0.0455,0.0833
"locus3923",0,0.0625,0.15,0,0.3571,0.2083,0.3333,0.0455,0,0,0.375,0.0556,0.0625,0.0833,0,0,0,0.1111,0.4167,0,0.1,0,0.3182,0.25
"locus3924",0,0,0.1,0.0455,0.1429,0.0833,0.1111,0.0909,0,0.05,0,0.1111,0,0,0,0.1667,0,0,0,0,0.1,0,0.0455,0
"locus3925",0.0417,0.0625,0.25,0.0909,0,0,0,0.0909,0.0625,0.05,0.0625,0,0.125,0.2083,0.0556,0,0.0625,0,0,0.0556,0.1,0.1,0.0455,0.0417
"locus3926",0,0.0625,0.05,0,0,0.0417,0,0,0.0625,0.05,0,0.2778,0.0625,0,0,0,0,0,0,0,0,0.05,0,0.0833
"locus3927",0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0.0417,0,0,0,0,0.1667,0,0,0.15,0,0.0833
"locus3928",0.1667,0.25,0.15,0,0,0.0833,0,0.0455,0,0,0,0,0.1875,0.0833,0.1667,0,0.0625,0.1111,0,0,0,0.25,0.1818,0
"locus3929",0,0,0,0.2727,0.0714,0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
"locus3930",0.2083,0.1875,0,0.4091,0.3571,0.2917,0,0,0.0625,0.4,0.0625,0.3889,0.0625,0.0833,0,0.1667,0.0625,0,0.1667,0.1111,0.05,0.15,0.0455,0.125
"locus3931",0.1667,0,0,0.1364,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0.0556,0,0.0556,0.05,0,0.0909,0
"locus3932",0.0417,0.125,0,0.0909,0,0,0,0.0455,0.0625,0.05,0,0,0,0.0833,0.0556,0,0,0.0556,0,0,0,0,0.0909,0.0417
"locus3933",0.125,0,0.1,0.4545,0,0.0417,0,0,0.1875,0,0,0,0,0.0417,0,0.1667,0.125,0.0556,0,0.0556,0.25,0.2,0,0
"locus3934",0.1667,0.1875,0,0,0,0,0.0556,0.1818,0.0625,0.05,0,0.0556,0.125,0.0417,0.0556,0,0.1875,0.1111,0,0.0556,0,0,0.0455,0
"locus3935",0.1667,0.25,0.05,0.1818,0.1429,0,0.1667,0.1818,0.25,0.05,0,0.1111,0.0625,0.2083,0,0,0.25,0.0556,0.1667,0.0556,0.2,0.05,0.1818,0.0833
"locus3936",0.2083,0.4375,0.3,0.4091,0.2857,0.375,0.5,0.3182,0.125,0.5,0.4375,0.5,0.1875,0.2917,0,0.5,0.3125,0.3333,0.3333,0.4444,0.3,0.45,0.0909,0.375
"locus3937",0.0417,0,0.05,0,0.0714,0.125,0.0556,0,0,0.1,0.0625,0,0,0,0.0556,0,0.0625,0,0,0,0.1,0,0.0909,0.125
"locus3938",0.0417,0.125,0.1,0,0,0,0,0.1818,0,0.05,0,0,0.125,0.25,0,0.1667,0.125,0.0556,0,0.0556,0,0.2,0,0
"locus3939",0.4167,0.4375,0.4,0.4545,0.1429,0.2917,0.2778,0.4545,0.0625,0.15,0.375,0.3333,0.4375,0.4583,0.5,0.3333,0.375,0.5,0.3333,0.3333,0.5,0.4,0.4545,0.25
"locus3940",0,0.375,0.05,0,0,0.3333,0,0.0455,0,0,0,0,0,0.125,0,0,0.0625,0,0,0,0,0.15,0,0
"locus3941",0,0,0.1,0.0455,0.1429,0,0,0.0455,0,0.05,0,0,0,0.0417,0.2222,0,0,0,0,0,0,0.05,0,0
"locus3942",0.4167,0.375,0.25,0.4091,0.2857,0.4167,0.3333,0.1364,0.25,0.3,0.375,0.2222,0.4375,0.1667,0.2778,0.5,0.125,0.3333,0.0833,0.5,0.3,0.35,0.5,0.0417
"locus3943",0,0.0625,0,0,0,0,0,0.0909,0,0,0.0625,0.1111,0,0.0417,0.0556,0,0.1875,0.0556,0,0,0,0.05,0.0455,0
"locus3944",0.0417,0.1875,0.05,0.0909,0.2143,0.0833,0.3889,0.0909,0.4375,0.1,0.5,0.1667,0.25,0.125,0.4444,0,0.25,0.1111,0.4167,0.0556,0.1,0.1,0.4091,0.4167
"locus3945",0,0,0.25,0,0.0714,0,0,0.2727,0.0625,0,0,0,0,0.0833,0.0556,0,0.0625,0.0556,0,0,0,0.15,0,0
"locus3946",0.125,0.0625,0.05,0,0,0.0417,0,0,0.0625,0.1,0,0,0,0.0833,0.1667,0,0.0625,0.0556,0,0,0,0.05,0,0.0833
"locus3947",0.0417,0.0625,0.05,0.0909,0,0.0417,0,0.0909,0.0625,0.05,0.0625,0,0,0,0.1111,0.1667,0,0,0,0,0.15,0,0,0
"locus3948",0.25,0,0,0.0455,0.0714,0,0,0.1364,0,0,0.125,0,0,0.0417,0.3333,0,0,0.0556,0,0.1111,0.1,0,0,0.0417
"locus3949",0,0,0,0.0455,0.0714,0.2083,0.1111,0.0455,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.0417
"locus3950",0.2083,0.4375,0.15,0.2273,0.4286,0.4583,0.0556,0.1818,0.3125,0.2,0.0625,0.3333,0.125,0.2917,0.0556,0,0.25,0.1667,0.0833,0.0556,0.15,0.2,0.0455,0.0833
"locus3951",0,0.125,0.05,0,0,0,0,0,0,0.35,0,0.3333,0,0,0,0,0,0,0,0.0556,0,0,0,0
"locus3952",0.4583,0.4375,0.4,0.4545,0.4286,0.4167,0.4444,0.2273,0.3125,0.5,0.375,0.4444,0.125,0.2917,0.3333,0.5,0.25,0.1667,0.4167,0.1111,0.45,0.45,0.4091,0.2917
"locus3953",0.0417,0.0625,0.1,0,0.3571,0.0833,0,0.0455,0.125,0.3,0,0.3889,0,0.0417,0.1111,0,0.125,0.2222,0,0,0,0.4,0.0909,0.0417
"locus3954",0,0.0625,0,0.0455,0,0.125,0.0556,0,0.0625,0,0,0,0.0625,0,0,0,0,0.2778,0.25,0,0,0,0,0
"locus3955",0.0417,0.0625,0.35,0,0.2143,0.2917,0,0.4091,0.0625,0.1,0,0,0.4375,0.375,0,0.3333,0.25,0.2778,0.4167,0,0.05,0.4,0.1364,0.0833
"locus3956",0.0417,0.0625,0,0.3636,0,0.2083,0,0.0455,0,0,0,0.1111,0.0625,0.125,0,0,0.125,0.1111,0,0,0.05,0,0,0.0417
"locus3957",0,0,0,0,0.0714,0,0.3333,0,0,0,0,0,0.1875,0,0,0.1667,0,0,0,0,0,0,0,0.0417
"locus3958",0.0417,0,0,0.0455,0,0,0.0556,0.0909,0,0,0.1875,0,0.125,0.0833,0,0,0.125,0.0556,0.0833,0.0556,0.05,0.1,0.0455,0.125
"locus3959",0,0,0,0,0,0,0,0.0909,0,0.05,0,0,0.0625,0,0.2222,0.1667,0,0,0,0,0.05,0,0.0455,0
"locus3960",0.0417,0.0625,0.05,0.2273,0,0.0417,0.2222,0,0.125,0.05,0.1875,0,0.0625,0,0.0556,0.1667,0,0,0.25,0.3889,0,0,0,0
"locus3961",0,0.1875,0,0,0,0,0,0,0.125,0.15,0,0,0,0,0,0.1667,0.0625,0,0,0.0556,0,0,0.0909,0.1667
"locus3962",0.0417,0,0,0.1818,0.1429,0.125,0.0556,0,0.0625,0.05,0.0625,0.1667,0,0,0,0,0,0.1111,0,0.0556,0.05,0,0.0909,0.0833
"locus3963",0.1667,0.0625,0.25,0.0455,0,0.125,0.0556,0.0909,0.125,0.1,0.0625,0.1111,0.125,0.125,0.1111,0.3333,0.125,0.1667,0,0.1667,0.15,0.1,0.2273,0.125
"locus3964",0,0.125,0.3,0.0909,0,0.125,0.1111,0.0909,0.125,0.1,0.125,0.3889,0.125,0.2083,0,0,0.125,0.2222,0,0.0556,0.1,0.1,0.2273,0.0833
"locus3965",0.2083,0.0625,0,0.4091,0,0,0,0.0455,0,0.1,0.125,0.0556,0.0625,0.125,0.2222,0.1667,0.0625,0,0.1667,0.2778,0.2,0,0.2273,0.0417
"locus3966",0.125,0,0.15,0,0,0.0417,0,0.0455,0,0.05,0,0,0,0.3333,0.2778,0,0.1875,0,0.25,0.0556,0.15,0.05,0.1364,0
"locus3967",0.4167,0.5,0.5,0.4091,0.4286,0.2083,0.4444,0.4545,0.375,0.35,0.375,0.5,0.375,0.3333,0.2778,0.5,0.4375,0.3889,0.4167,0.2222,0.45,0.4,0.3636,0.25
"locus3968",0,0.25,0,0.2273,0,0.2917,0.0556,0.0909,0.0625,0.2,0,0.1111,0,0.0417,0,0,0,0.0556,0,0,0.05,0.25,0,0
"locus3969",0,0.0625,0,0,0,0.1667,0.1111,0,0,0.05,0.25,0.2222,0,0,0,0.3333,0,0,0,0,0,0.1,0,0
"locus3970",0.0417,0.0625,0.25,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.1667,0.0625,0,0.0833,0.0556,0.2,0.4,0.0909,0
"locus3971",0.0417,0,0.2,0,0,0,0.1111,0.0909,0,0.15,0.125,0,0.25,0.125,0,0,0.1875,0.2222,0.0833,0,0,0.25,0.1364,0
"locus3972",0.0833,0,0.1,0.0455,0,0,0,0,0,0,0,0,0.125,0,0.0556,0,0.1875,0.1111,0,0,0.25,0,0.0455,0
"locus3973",0.0833,0,0,0.0909,0,0,0,0,0,0,0,0,0,0,0.2222,0,0,0.4444,0,0,0.1,0.05,0.0909,0
"locus3974",0.125,0,0,0,0,0,0.1111,0.0455,0,0.05,0,0.1111,0,0,0.1111,0,0.0625,0,0,0,0.05,0.15,0.0455,0
"locus3975",0.0833,0,0,0.1364,0.1429,0,0.0556,0.0455,0.125,0,0,0,0.0625,0.0417,0,0,0.0625,0,0,0,0,0,0,0.0417
"locus3976",0.1667,0.0625,0.4,0.2727,0.2143,0.125,0.3333,0.2727,0.0625,0.05,0.375,0,0.1875,0.2083,0.0556,0.3333,0.125,0.3333,0.25,0,0.3,0.25,0.5,0.4167
"locus3977",0.2083,0,0.05,0,0,0.0417,0.0556,0.1818,0.0625,0,0,0,0.0625,0,0,0.1667,0.25,0.1111,0,0.0556,0.15,0.05,0.1818,0.0833
"locus3978",0.375,0.4375,0.5,0.4545,0.4286,0.375,0.4444,0.3182,0.5,0.1,0.375,0.3889,0.375,0.5,0.4444,0.3333,0.4375,0.4444,0.4167,0.5,0.45,0.35,0.3182,0.375
"locus3979",0.0833,0.0625,0.05,0,0.0714,0,0,0.0455,0,0,0,0,0.125,0,0,0,0.1875,0.0556,0,0,0,0.05,0.0455,0
"locus3980",0.0417,0,0.1,0.0455,0,0.1667,0.0556,0.0455,0.0625,0.45,0.0625,0.2778,0,0.125,0.1111,0,0,0,0,0.0556,0,0,0.0455,0.2083
"locus3981",0,0,0,0.1818,0,0,0,0,0,0,0.0625,0,0,0.0417,0.1111,0,0,0,0.25,0.1667,0,0,0,0.0417
"locus3982",0.0417,0.125,0.35,0,0,0.25,0.2222,0.0455,0,0.05,0,0,0,0.0833,0,0,0.0625,0.0556,0,0.0556,0,0,0,0
"locus3983",0.5,0.5,0.45,0.5,0.3571,0.25,0.2222,0.3636,0.4375,0.4,0.5,0.3333,0.4375,0.4583,0.3333,0.1667,0.4375,0.3889,0.4167,0.3889,0.45,0.45,0.4091,0.2917
"locus3984",0.1667,0,0,0,0,0.0833,0.0556,0.0909,0.0625,0.1,0,0.0556,0.125,0.0417,0,0,0,0,0.0833,0,0,0.15,0.0455,0
"locus3985",0,0.0625,0,0.0455,0,0,0,0,0.0625,0.5,0,0.0556,0,0,0,0,0,0.1667,0,0,0,0,0,0
"locus3986",0.1667,0,0,0.1364,0,0,0,0,0,0,0,0,0,0.2083,0.2222,0,0,0,0,0,0.05,0,0,0
"locus3987",0.3333,0.0625,0.35,0.2727,0.2143,0.2083,0.3889,0.3636,0.4375,0.1,0.3125,0.1111,0.4375,0.25,0.3333,0.5,0.375,0.2222,0.3333,0.0556,0.5,0.35,0.4545,0.3333
"locus3988",0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.0417,0,0,0,0,0,0.2222,0.3,0,0.0455,0
"locus3989",0,0,0.15,0.1364,0,0.125,0.0556,0.0455,0,0,0,0,0,0.0417,0.2778,0,0.125,0.2222,0,0,0.05,0.15,0.0455,0
"locus3990",0.4167,0.4375,0.35,0.4091,0.4286,0.2917,0.2778,0.2727,0.5,0.45,0.4375,0.4444,0.25,0.5,0.4444,0.5,0.3125,0.3889,0.0833,0.2222,0.35,0.25,0.3636,0.4167
"locus3991",0.0833,0,0.05,0,0,0,0,0.0455,0,0.15,0,0,0,0,0.2222,0.1667,0.0625,0.1111,0.0833,0,0.1,0,0.0909,0
"locus3992",0,0,0.05,0,0,0.0833,0.1111,0,0,0,0,0.2222,0,0.0833,0,0,0,0,0,0,0,0.05,0.0455,0
"locus3993",0.125,0,0,0.0909,0,0,0.0556,0,0.0625,0.05,0,0.0556,0.375,0.125,0.3889,0,0,0,0,0.5,0,0.05,0.0455,0.0417
"locus3994",0.1667,0.3125,0.25,0.1818,0.4286,0.2083,0.3333,0.2273,0.0625,0.45,0.1875,0.2778,0.3125,0.4167,0.2222,0.3333,0.3125,0.0556,0.1667,0,0,0.3,0.1818,0.4167
"locus3995",0.2917,0,0.05,0.2727,0,0.0833,0.0556,0.1364,0.25,0.1,0,0,0.0625,0.2917,0.4444,0.1667,0.1875,0.1111,0,0.0556,0.35,0.25,0.0909,0.0833
"locus3996",0.0417,0.1875,0,0,0,0.2083,0.1111,0.1364,0,0.05,0,0.2778,0,0.0417,0,0,0.3125,0.1111,0.1667,0,0,0.15,0,0.0417
"locus3997",0,0.125,0.1,0.0455,0,0.0417,0.1111,0,0,0,0.0625,0,0.0625,0.0833,0,0,0.125,0.0556,0.0833,0,0.2,0.05,0.0455,0.0833
"locus3998",0.125,0.1875,0.1,0.4545,0.2857,0.375,0.3889,0.0455,0.5,0.45,0.4375,0.2222,0.3125,0.1667,0.4444,0.1667,0.1875,0.2222,0.25,0.1111,0.45,0.5,0.3636,0.3333
"locus3999",0.0417,0,0,0.0909,0.1429,0,0.0556,0.1818,0.1875,0,0,0,0.125,0.0417,0.2222,0,0,0.0556,0.0833,0.0556,0.05,0.05,0,0.0833
"locus4000",0.125,0.1875,0.2,0.0909,0,0,0.1667,0,0,0.3,0.1875,0,0.1875,0,0.2222,0,0,0.1111,0.25,0,0.05,0,0.0455,0.0417
"locus4001",0,0.0625,0,0,0,0,0.2778,0,0,0,0.0625,0,0,0,0,0,0,0,0.0833,0,0,0.05,0,0.2083
"locus4002",0.0833,0.1875,0.25,0.2727,0.1429,0,0.1111,0.0909,0.0625,0.15,0.0625,0,0,0.125,0,0,0.0625,0.0556,0.25,0.3333,0.2,0.25,0,0.125
"locus4003",0.0833,0,0.05,0.0909,0.0714,0,0.0556,0,0,0.1,0.0625,0.0556,0,0,0.0556,0.3333,0,0,0,0,0.1,0.05,0.2273,0.0417
"locus4004",0.1667,0.25,0,0.1818,0.1429,0.4167,0.3333,0.0455,0,0.25,0.0625,0.3333,0.0625,0.0417,0.0556,0,0.125,0,0.3333,0,0.15,0.15,0.4091,0.1667
"locus4005",0,0.0625,0.05,0,0.2857,0,0,0.1818,0,0,0,0.3333,0.125,0.0417,0,0,0.0625,0,0,0.0556,0.05,0.1,0,0.0833
"locus4006",0.0833,0.0625,0,0,0,0.0417,0.0556,0.0455,0.25,0.05,0.1875,0.0556,0.0625,0.0417,0.1667,0,0,0.0556,0,0.1667,0.1,0.05,0.0455,0
"locus4007",0,0.0625,0.05,0,0,0.0417,0.2222,0,0.0625,0,0,0.1111,0,0,0,0,0,0,0,0,0.05,0,0.0455,0.2083
"locus4008",0,0.0625,0.05,0,0.0714,0.0833,0.1111,0,0,0.15,0,0.2222,0,0,0,0,0,0.1111,0,0.0556,0,0,0,0.0417
"locus4009",0.0833,0,0,0,0,0.0417,0.0556,0.1364,0.0625,0,0,0.0556,0,0,0.1667,0.3333,0,0.1111,0,0.0556,0,0,0,0.125
"locus4010",0,0.3125,0,0.4091,0,0,0,0,0.3125,0,0,0,0.125,0.0417,0.0556,0,0,0.2222,0,0,0.05,0.2,0,0.0833
